Name,Location,Serves,Prices,Contact Person,Phones,Website
Serenity and Steps Sober Living,Long Beach,Men,Price $900 -- W/$900 Deposit,Willie Middlebrook, 562-900-0649,www.serenityandsteps.com
Serenity Hill,Mission Viejo,Women,$1200,William O'Connor, (949) 600-7704,doghouse-recovery.com/
Serenity House,Mission Viejo,Women,"$1,200",William O'Conor, (949) 600-7704,doghouse-recovery.com
Serenity House I,East Ventura,Women,$725,Tamara, (805) 612-9708,
Serenity House II,East Ventura,Women,$725,Tamara, 805-612-9708,
Serenity House III,West Ventura,"Women, Women With Children",$750 -- $850,Tamara, 805-612-9708,
SM Homes,Los Angeles,Men,$750 - $875,Sean Silva, (424) 470-2072,www.smhomes-soberliving.org
SM Homes,Highland Park,Men,$850-$950,Sean Silva, (424) 470-2072,www.smhomes-soberliving.org
A Sober Way of Living,Stockton,Men,Varies,Lamar, (209) 513-0313,
A Sober Way of Living,Stockton,Men,Price,Lamar, (209) 513-0313,
SOI – David’s House,Moreno Valley,Men,$650,Marvin, (951) 934-8696,
SOI Abbye’s House,Eastvale,Men,$625,Marvin, (951) 934-8696,
SOI Davids House,Moreno Valley,Men,$625,Marvin, (951) 934-8696,
SOI Dontez House,San Jacinto,Men,$650,Marvin, (951) 934-8696,
SOI Xavier House,San Jacinto,Women With Children,$625,Marvin, (951) 934-8696,
South D Street House,San Bernardino,Women,$300,Shawn Young, 909-884-0840,
South D Street House II,San Bernardino,Women,$300,Shawn Young, 909-884-0840,
Sozo Recovery Residence,San Bernardino,Women,$600,Jeanna, 951 836-1253,www.SozoRecoveryResidence.com
SSG/Hopics RBH,Los Angeles,"Men, Women, Coed",RBH-Sap C,Daniel Valenzuela, (323) 652-1087,www.hopics.org
Stay The Course – I,Santa Ana,Men,$3000,Brian Greenwald, 949-402-3558,stchouse.com
Stay The Course – II,Santa Ana,Men,$3000,Brian Greewald, 949-402-3558,stchouse.com
Stoddard House,San Bernardino,Men,$300,Shawn Young, 909-884-0840,
Strive Sober Living,San Fernando,Coed,$750,Joe Estrada, 818-812-8455,
Sutter House of Hope,Stockton,Women With Children,$600,Henry, (209) 513-2910,
Sweet Surrender,West Ventura,Women,$600,Crystal Coke, (805) 444-8412,
Symfonica Living – Gardenia House,Long Beach,Women,Starting at $750,Mandy Monfore, (310) 957-4343,
Symfonica Living – Lotus House,Long Beach,Women,Starting at $800,Mandy Monfore, (310) 957-4343,
Tenacious Transitional Homes,Menifee,Women,$700,Tashawn Rogers, (951) 292-0196,
TLH – Pasadena House,Long Beach,Men,$750,Constance, (562) 673-9214,www.transformationallivinghomes.org
TLH Daymon House,Long Beach,Coed,$750,Constance, (562) 673-9214,www.transformationallivinghomes.org
Total Restoration Ministries,Torrance,Women,$650,Sandra, (909) 753-7073,www.totalrestorationministries.com
Total Restoration Ministries,Pomona,"Men, Women, Women With Children",Varies,Sandra, (909) 202-7838,
Trinity In His House Foundation Inc.,Lynwood,Men,$675,Wendell, (909) 24-7567,
The U.T.P. House,Long Beach,Men,$700,Ceasar McDowell, (562) 254-6706,unitethepeopleorg
Upward Sober Living,Stockton,Men,$650,Robert, (209) 423-6152,
Urban Supportive Living Homes,Long Beach,"Men, Women, Coed",Free - No Cost,Tatiana Turner, (415) 906-0847,
Uyoyo Peace . Org,Inglewood,Men,$750,Melinda, (626) 327-7484,www.uyoyopeace.org
Van Sober Living,Simi Valley,Men,$650,Cornelius, (805) 760-8231,
VSC – 4th Street – SLE,Ceres,Women,$760,Robert Klinger, (209) 479-1766,www.valleysobercharities.org
VSC – Hackett Rd. SLE,Ceres,Women,$760.00,Sam Hudson, (916) 479-2396,www.valleysobercharities.org
VSC – North & 5th Street SLE,Ceres,Men,$690.00,Robert Klinger, (209) 479-1766,www.valleysobercharities.org
Welcome to Life — 1st,Covina,Men,$675,Jim Turner, (626) 318-1000,
Welcome to Life — Puente,Covina,Men,$675,Jim Turner, (626) 318-1000,
Welcome to Life — William,Pomona,Men,$675,Jim Turner, (626) 318-1000,
